municipio,uf,lat,lon,fonte,score,eco_score,soc_score,env_score,data_completeness,rank
BREJO DO PIAUI,PI,-8.19050104375,-42.5388951375,Biometano,0.1684,0.3243,0.129,0.0,0.625,1
EDEIA,GO,-17.510010110000003,-50.01878061,Solar,0.1681,0.1024,0.1483,0.2756,0.875,1
EDEIA,GO,-17.510010110000003,-50.01878061,Eolica,0.1681,0.1024,0.1483,0.2756,0.875,1
CAMPO GRANDE,MS,-16.23704289894737,-50.953859188421056,Biometano,0.1679,0.2613,0.2112,0.0001,0.625,1
NOVA ALVORADA DO SUL,MS,-21.445027166666666,-54.422652019999994,Biometano,0.1678,0.2613,0.2111,0.0,0.625,1
JI-PARANA,RO,-10.84726389,-61.999588884999994,H2 Verde,0.1678,0.2497,0.1587,0.0677,1.0,1
PETROPOLIS,RJ,-22.41995374,-43.144600376666666,H2 Verde,0.1677,0.2402,0.1356,0.1032,1.0,1
RUBIATABA,GO,-15.17540966,-49.74883455,Solar,0.1676,0.1003,0.1493,0.2756,0.875,1
RUBIATABA,GO,-15.17540966,-49.74883455,Eolica,0.1676,0.1003,0.1493,0.2756,0.875,1
MARACAJU,MS,-21.778254015,-55.271168044999996,Eolica,0.1672,0.0909,0.1866,0.2495,0.875,1
DOURADOS,MS,-22.286012205,-54.808540635,Biometano,0.1665,0.2613,0.2063,0.0004,0.625,1
NAZARIO,GO,-16.59035047,-49.86455253,Solar,0.1665,0.0992,0.1473,0.2756,0.875,1
NAZARIO,GO,-16.59035047,-49.86455253,Eolica,0.1665,0.0992,0.1473,0.2756,0.875,1
CAARAPO,MS,-22.610608220000003,-54.749301415,Eolica,0.1661,0.0911,0.1827,0.2495,0.875,1
CAARAPO,MS,-22.610608220000003,-54.749301415,Solar,0.1661,0.0911,0.1827,0.2495,0.875,1
ELISEU MARTINS,PI,-8.0782561925,-43.672628544999995,Biometano,0.166,0.3243,0.1208,0.0,0.625,1
ANGELICA,MS,-22.039657406666667,-53.84107411333334,Eolica,0.1655,0.0938,0.1772,0.2495,0.875,1
SERRANOPOLIS,GO,-18.219383821764705,-52.256517483529414,Biometano,0.1655,0.2973,0.1554,0.0,0.625,1
PEROLANDIA,GO,-17.52016266,-52.03963455,Eolica,0.1648,0.1015,0.1384,0.2756,0.875,1
JANDAIA,GO,-17.27425967,-50.13953455,Eolica,0.1648,0.0993,0.1415,0.2756,0.875,1
PEROLANDIA,GO,-17.52016266,-52.03963455,Solar,0.1648,0.1015,0.1384,0.2756,0.875,1
JANDAIA,GO,-17.27425967,-50.13953455,Solar,0.1648,0.0993,0.1415,0.2756,0.875,1
SANTO ANTONIO DOS LOPES,MA,-10.89369655,-44.443211590000004,H2 Verde,0.1647,0.1394,0.1387,0.2244,0.875,1
COLNIZA,MT,-9.45790389,-59.21894889,Solar,0.1646,0.0631,0.1318,0.3327,0.875,1
COLNIZA,MT,-9.45790389,-59.21894889,Eolica,0.1646,0.0631,0.1318,0.3327,0.875,1
CABO FRIO,RJ,-22.821951720999998,-42.049097396,H2 Verde,0.1644,0.1106,0.194,0.2064,0.875,1
PETROLINA,PE,-9.39359083,-40.494249445,Biometano,0.1638,0.2432,0.2218,,0.5,1
IPAMERI,GO,-17.427150926666666,-47.79629444333333,Biometano,0.1631,0.2973,0.1468,0.0003,0.625,1
IGUABA GRANDE,RJ,-22.844027775,-42.229722225,H2 Verde,0.1628,0.1103,0.1892,0.2064,0.875,1
PARAUNA,GO,-17.33041666,-50.49572222,Eolica,0.1627,0.1005,0.1328,0.2756,0.875,1
PARAUNA,GO,-17.33041666,-50.49572222,Solar,0.1627,0.1005,0.1328,0.2756,0.875,1
SAO JOAO DA BARRA,RJ,-21.838610695,-41.079438296666666,H2 Verde,0.1627,0.1995,0.1733,0.1032,1.0,1
