municipio,uf,lat,lon,fonte,score,eco_score,soc_score,env_score,rank
AGUAS DE SAO PEDRO,SP,-23.61194445,-46.65916666,Biomassa,0.3009,0.5646,0.0001,0.25,1
AGUAS DE SAO PEDRO,SP,-23.61194445,-46.65916666,H2 Verde,0.2482,0.3333,0.0001,0.3828,2
AGUAS DE SAO PEDRO,SP,-23.61194445,-46.65916666,Solar,0.2073,0.2312,0.0001,0.3828,3
AGUAS DE SAO PEDRO,SP,-23.61194445,-46.65916666,Eolica,0.2073,0.2312,0.0001,0.3828,3
AGUAS DE SAO PEDRO,SP,-23.61194445,-46.65916666,Biometano,0.1675,0.2312,0.0001,0.25,4
AGUAS FRIAS,SC,-26.85333333,-52.90027778,Solar,0.2452,0.4716,0.0001,0.1886,1
AGUAS FRIAS,SC,-26.85333333,-52.90027778,H2 Verde,0.2376,0.4524,0.0001,0.1886,2
AGUAS FRIAS,SC,-26.85333333,-52.90027778,Biomassa,0.178,0.2572,0.0001,0.2502,3
AGUAS FRIAS,SC,-26.85333333,-52.90027778,Biometano,0.1303,0.1381,0.0001,0.2502,4
AGUAS FRIAS,SC,-26.85333333,-52.90027778,Eolica,0.1119,0.1383,0.0001,0.1886,5
AGUAS VERMELHAS,MG,-15.52247511,-41.51111691,Solar,0.4167,0.6667,0.0001,0.5001,1
AGUAS VERMELHAS,MG,-15.52247511,-41.51111691,H2 Verde,0.3669,0.5421,0.0001,0.5001,2
AGUAS VERMELHAS,MG,-15.52247511,-41.51111691,Biomassa,0.2919,0.5421,0.0001,0.2501,3
AGUAS VERMELHAS,MG,-15.52247511,-41.51111691,Eolica,0.2834,0.3334,0.0001,0.5001,4
AGUAS VERMELHAS,MG,-15.52247511,-41.51111691,Biometano,0.2084,0.3333,0.0001,0.2501,5
AGUDO,RS,-14.72454415,-26.642501985,Solar,0.3979,0.6313,0.1252,0.3593,1
AGUDO,RS,-14.72454415,-26.642501985,H2 Verde,0.3424,0.4927,0.1252,0.3593,2
AGUDO,RS,-14.72454415,-26.642501985,Biomassa,0.2957,0.4536,0.1252,0.2556,3
AGUDO,RS,-14.72454415,-26.642501985,Eolica,0.2645,0.298,0.1252,0.3593,4
AGUDO,RS,-14.72454415,-26.642501985,Biometano,0.2319,0.2943,0.1252,0.2556,5
AGUDOS,SP,-22.46900716,-48.98803336,Biomassa,0.3009,0.5647,0.0001,0.25,1
AGUDOS,SP,-22.46900716,-48.98803336,H2 Verde,0.2482,0.3335,0.0001,0.3828,2
AGUDOS,SP,-22.46900716,-48.98803336,Solar,0.2074,0.2314,0.0001,0.3828,3
AGUDOS,SP,-22.46900716,-48.98803336,Eolica,0.2074,0.2314,0.0001,0.3828,3
AGUDOS,SP,-22.46900716,-48.98803336,Biometano,0.1675,0.2312,0.0001,0.25,4
AGUIARNOPOLIS,MA,-6.58909741,-47.46648003,H2 Verde,0.2279,0.4492,0.0001,0.1605,1
AGUIARNOPOLIS,MA,-6.58909741,-47.46648003,Solar,0.2184,0.4256,0.0001,0.1605,2
AGUIARNOPOLIS,MA,-6.58909741,-47.46648003,Biomassa,0.1599,0.176,0.0001,0.2983,3
AGUIARNOPOLIS,MA,-6.58909741,-47.46648003,Biometano,0.1135,0.0601,0.0001,0.2983,4
AGUIARNOPOLIS,MA,-6.58909741,-47.46648003,Eolica,0.0851,0.0923,0.0001,0.1605,5
AJURICABA,RS,-28.21388889,-53.62888889,Solar,0.3572,0.6277,0.0001,0.3538,1
AJURICABA,RS,-28.21388889,-53.62888889,H2 Verde,0.3017,0.489,0.0001,0.3538,2
AJURICABA,RS,-28.21388889,-53.62888889,Biomassa,0.255,0.4499,0.0001,0.25,3
AJURICABA,RS,-28.21388889,-53.62888889,Eolica,0.2239,0.2943,0.0001,0.3538,4
AJURICABA,RS,-28.21388889,-53.62888889,Biometano,0.1928,0.2943,0.0001,0.25,5
ALAGOA,MG,-22.23133889,-44.66744167,Solar,0.4167,0.6667,0.0001,0.5001,1
ALAGOA,MG,-22.23133889,-44.66744167,H2 Verde,0.3669,0.5421,0.0001,0.5001,2
ALAGOA,MG,-22.23133889,-44.66744167,Biomassa,0.2919,0.5421,0.0001,0.2501,3
ALAGOA,MG,-22.23133889,-44.66744167,Eolica,0.2834,0.3334,0.0001,0.5001,4
ALAGOA,MG,-22.23133889,-44.66744167,Biometano,0.2084,0.3333,0.0001,0.2501,5
ALAGOINHAS,BA,-3.021085765,-9.5858975275,Solar,0.2627,0.25,0.1254,0.4169,1
ALAGOINHAS,BA,-3.021085765,-9.5858975275,Biomassa,0.2604,0.3696,0.1254,0.25,2
ALAGOINHAS,BA,-3.021085765,-9.5858975275,Eolica,0.2468,0.2103,0.1254,0.4169,3
ALAGOINHAS,BA,-3.021085765,-9.5858975275,H2 Verde,0.2423,0.1991,0.1254,0.4169,4
ALAGOINHAS,BA,-3.021085765,-9.5858975275,Biometano,0.1967,0.2102,0.1254,0.25,5
ALDEIAS ALTAS,MA,-4.62388889,-43.61416667,Biomassa,0.1326,0.1439,0.0001,0.25,1
ALDEIAS ALTAS,MA,-4.62388889,-43.61416667,Biometano,0.0991,0.0601,0.0001,0.25,2
ALDEIAS ALTAS,MA,-4.62388889,-43.61416667,H2 Verde,0.0672,0.0839,0.0001,0.1122,3
ALDEIAS ALTAS,MA,-4.62388889,-43.61416667,Solar,0.0578,0.0602,0.0001,0.1122,4
ALDEIAS ALTAS,MA,-4.62388889,-43.61416667,Eolica,0.0578,0.0602,0.0001,0.1122,4
ALEGRE,ES,-20.692160483333335,-41.50924885,H2 Verde,0.1716,0.3855,0.0003,0.0577,1
ALEGRE,ES,-20.692160483333335,-41.50924885,Solar,0.161,0.3591,0.0003,0.0577,2
ALEGRE,ES,-20.692160483333335,-41.50924885,Biomassa,0.1063,0.0761,0.0003,0.2526,3
ALEGRE,ES,-20.692160483333335,-41.50924885,Biometano,0.0855,0.024,0.0003,0.2526,4
ALEGRE,ES,-20.692160483333335,-41.50924885,Eolica,0.0277,0.0257,0.0003,0.0577,5
ALEGRETE,RS,-29.965611434285712,-56.05969165,Biomassa,0.2927,0.4503,0.1253,0.25,1
ALEGRETE,RS,-29.965611434285712,-56.05969165,Eolica,0.2765,0.3319,0.1253,0.3537,2
ALEGRETE,RS,-29.965611434285712,-56.05969165,Solar,0.2616,0.2946,0.1253,0.3537,3
ALEGRETE,RS,-29.965611434285712,-56.05969165,Biometano,0.2303,0.2943,0.1253,0.25,4
ALEGRETE,RS,-29.965611434285712,-56.05969165,H2 Verde,0.2061,0.156,0.1253,0.3537,5
ALEGRETE DO PIAUI,PI,-7.13621528,-40.80028139,Solar,0.2245,0.4415,0.0001,0.1594,1
ALEGRETE DO PIAUI,PI,-7.13621528,-40.80028139,H2 Verde,0.1986,0.3768,0.0001,0.1594,2
ALEGRETE DO PIAUI,PI,-7.13621528,-40.80028139,Biomassa,0.1357,0.1516,0.0001,0.2501,3
ALEGRETE DO PIAUI,PI,-7.13621528,-40.80028139,Biometano,0.1183,0.1081,0.0001,0.2501,4
ALEGRETE DO PIAUI,PI,-7.13621528,-40.80028139,Eolica,0.0911,0.1082,0.0001,0.1594,5
ALEM PARAIBA,MG,-21.904356399999998,-42.74859087,Solar,0.4625,0.6764,0.1252,0.5148,1
ALEM PARAIBA,MG,-21.904356399999998,-42.74859087,H2 Verde,0.4127,0.5518,0.1252,0.5148,2
ALEM PARAIBA,MG,-21.904356399999998,-42.74859087,Biomassa,0.3378,0.552,0.1252,0.2648,3
ALEM PARAIBA,MG,-21.904356399999998,-42.74859087,Eolica,0.3293,0.3432,0.1252,0.5148,4
ALEM PARAIBA,MG,-21.904356399999998,-42.74859087,Biometano,0.2503,0.3333,0.1252,0.2648,5
ALEM PARAIBA,RJ,-21.84333333,-42.57944444,H2 Verde,0.2131,0.4492,0.0001,0.1115,6
ALEM PARAIBA,RJ,-21.84333333,-42.57944444,Solar,0.1955,0.4049,0.0001,0.1115,7
ALEM PARAIBA,RJ,-21.84333333,-42.57944444,Biomassa,0.1503,0.1819,0.0001,0.2583,8
ALEM PARAIBA,RJ,-21.84333333,-42.57944444,Biometano,0.1039,0.0661,0.0001,0.2583,9
ALEM PARAIBA,RJ,-21.84333333,-42.57944444,Eolica,0.0621,0.0716,0.0001,0.1115,10
ALFENAS,MG,-21.428471805,-45.945255275,Biomassa,0.2919,0.5421,0.0002,0.25,1
ALFENAS,MG,-21.428471805,-45.945255275,Solar,0.2834,0.3334,0.0002,0.5,2
ALFENAS,MG,-21.428471805,-45.945255275,Eolica,0.2834,0.3334,0.0002,0.5,2
ALFENAS,MG,-21.428471805,-45.945255275,H2 Verde,0.2336,0.2088,0.0002,0.5,3
ALFENAS,MG,-21.428471805,-45.945255275,Biometano,0.2084,0.3333,0.0002,0.25,4
ALFREDO CHAVES,ES,-20.60360012,-40.80552455,H2 Verde,0.1706,0.3844,0.0001,0.056,1
ALFREDO CHAVES,ES,-20.60360012,-40.80552455,Solar,0.16,0.358,0.0001,0.056,2
ALFREDO CHAVES,ES,-20.60360012,-40.80552455,Biomassa,0.1053,0.075,0.0001,0.2509,3
ALFREDO CHAVES,ES,-20.60360012,-40.80552455,Biometano,0.0849,0.024,0.0001,0.2509,4
ALFREDO CHAVES,ES,-20.60360012,-40.80552455,Eolica,0.0267,0.0246,0.0001,0.056,5
ALMEIRIM,PA,-1.225197225,-52.50494528,Biomassa,0.1659,0.2272,0.0002,0.25,1
ALMEIRIM,AP,-0.65,-52.51666667,Solar,0.1518,0.351,0.0001,0.038,2
ALMEIRIM,AP,-0.65,-52.51666667,H2 Verde,0.1515,0.3501,0.0001,0.038,3
ALMEIRIM,PA,-1.225197225,-52.50494528,H2 Verde,0.1185,0.1461,0.0002,0.1999,4
ALMEIRIM,PA,-1.225197225,-52.50494528,Biometano,0.1075,0.0811,0.0002,0.25,5
ALMEIRIM,PA,-1.225197225,-52.50494528,Solar,0.0932,0.0829,0.0002,0.1999,6
ALMEIRIM,PA,-1.225197225,-52.50494528,Eolica,0.0932,0.0829,0.0002,0.1999,6
ALMEIRIM,AP,-0.65,-52.51666667,Biomassa,0.0894,0.0228,0.0001,0.2675,7
ALMEIRIM,AP,-0.65,-52.51666667,Biometano,0.0827,0.006,0.0001,0.2675,8
ALMEIRIM,AP,-0.65,-52.51666667,Eolica,0.0185,0.0176,0.0001,0.038,9
ALMIRANTE TAMANDARE,PR,-25.36472222,-49.295,Solar,0.2675,0.5136,0.0001,0.207,1
ALMIRANTE TAMANDARE,PR,-25.36472222,-49.295,H2 Verde,0.2358,0.4343,0.0001,0.207,2
ALMIRANTE TAMANDARE,PR,-25.36472222,-49.295,Biomassa,0.1875,0.2811,0.0001,0.2501,3
ALMIRANTE TAMANDARE,PR,-25.36472222,-49.295,Biometano,0.1471,0.1802,0.0001,0.2501,4
ALMIRANTE TAMANDARE,PR,-25.36472222,-49.295,Eolica,0.1342,0.1802,0.0001,0.207,5
ALMIRANTE TAMANDARE DO SUL,RS,-28.10295278,-53.01492778,Solar,0.3573,0.6277,0.0001,0.3538,1
ALMIRANTE TAMANDARE DO SUL,RS,-28.10295278,-53.01492778,H2 Verde,0.3018,0.489,0.0001,0.3538,2
ALMIRANTE TAMANDARE DO SUL,RS,-28.10295278,-53.01492778,Biomassa,0.2551,0.45,0.0001,0.2501,3
ALMIRANTE TAMANDARE DO SUL,RS,-28.10295278,-53.01492778,Eolica,0.2239,0.2944,0.0001,0.3538,4
ALMIRANTE TAMANDARE DO SUL,RS,-28.10295278,-53.01492778,Biometano,0.1928,0.2943,0.0001,0.2501,5
ALPERCATA,MG,-19.02156872,-42.12489562,Solar,0.4202,0.6708,0.0001,0.5062,1
ALPERCATA,MG,-19.02156872,-42.12489562,H2 Verde,0.3704,0.5462,0.0001,0.5062,2
ALPERCATA,MG,-19.02156872,-42.12489562,Biomassa,0.2954,0.5462,0.0001,0.2562,3
ALPERCATA,MG,-19.02156872,-42.12489562,Eolica,0.2869,0.3375,0.0001,0.5062,4
ALPERCATA,MG,-19.02156872,-42.12489562,Biometano,0.2102,0.3333,0.0001,0.2562,5
ALTA FLORESTA,MT,-10.335540606,-56.981800226,Solar,0.3212,0.3931,0.3754,0.1709,1
ALTA FLORESTA,MT,-10.335540606,-56.981800226,H2 Verde,0.307,0.3578,0.3754,0.1709,2
ALTA FLORESTA,MT,-10.335540606,-56.981800226,Biomassa,0.2265,0.0938,0.3754,0.2546,3
ALTA FLORESTA,MT,-10.335540606,-56.981800226,Biometano,0.2142,0.0631,0.3754,0.2546,4
ALTA FLORESTA,MT,-10.335540606,-56.981800226,Eolica,0.1904,0.0662,0.3754,0.1709,5
ALTA FLORESTA D'OESTE,RO,-12.157108367272729,-62.12625106545455,H2 Verde,0.2518,0.3891,0.251,0.0695,1
ALTA FLORESTA D'OESTE,RO,-12.157108367272729,-62.12625106545455,Solar,0.2416,0.3636,0.251,0.0695,2
ALTA FLORESTA D'OESTE,RO,-12.157108367272729,-62.12625106545455,Biomassa,0.1928,0.1048,0.251,0.2519,3
ALTA FLORESTA D'OESTE,RO,-12.157108367272729,-62.12625106545455,Biometano,0.1665,0.039,0.251,0.2519,4
ALTA FLORESTA D'OESTE,RO,-12.157108367272729,-62.12625106545455,Eolica,0.1123,0.0403,0.251,0.0695,5
ALTAMIRA,PA,-5.023673676666667,-53.00614857,H2 Verde,0.6094,0.8109,0.2503,0.6999,1
ALTAMIRA,PA,-5.023673676666667,-53.00614857,Solar,0.5841,0.7477,0.2503,0.6999,2
ALTAMIRA,PA,-5.023673676666667,-53.00614857,Biomassa,0.5235,0.5586,0.2503,0.75,3
ALTAMIRA,PA,-5.023673676666667,-53.00614857,Eolica,0.4508,0.4144,0.2503,0.6999,4
